antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'market_segment_Offline TA/TO'}),"frozenset({'customer_type_Transient', 'deposit_type_Non Refund'})",0.18783230389827824,0.29206543134460056,0.10371275368221,0.5521561069621778,1.8905219437308307,1.0,0.04885343082370927,1.5807619120433367,0.5799855739085956,0.27569615685331084,0.3673936648009362,0.45362859961169544
frozenset({'market_segment_Online TA'}),"frozenset({'customer_type_Transient', 'deposit_type_No Deposit', 'hotel_City Hotel'})",0.46912826082038056,0.3569311522885133,0.3115907599719451,0.6641909814323608,1.860837803519835,1.0,0.14414426926622043,1.914983851399925,0.8714113334110362,0.6056554817714059,0.4778023849814908,0.7685812919332189
"frozenset({'customer_type_Transient', 'deposit_type_No Deposit', 'hotel_City Hotel'})",frozenset({'market_segment_Online TA'}),0.3569311522885133,0.46912826082038056,0.3115907599719451,0.8729716024340771,1.8608378035198347,1.0,0.14414426926622043,4.179157962723393,0.7193749965575958,0.6056554817714059,0.760717348107048,0.7685812919332189
frozenset({'market_segment_Groups'}),"frozenset({'deposit_type_No Deposit', 'customer_type_Transient-Party'})",0.2736261001380122,0.12059096359646146,0.061313604380189596,0.22407805523400032,1.8581662220051745,1.0,0.028316769299404847,1.1333730697212696,0.6358089318317259,0.18417833355987495,0.11767799437308858,0.36626041598473
"frozenset({'deposit_type_No Deposit', 'customer_type_Transient-Party'})",frozenset({'market_segment_Groups'}),0.12059096359646146,0.2736261001380122,0.061313604380189596,0.5084427767354597,1.8581662220051745,1.0,0.028316769299404847,1.4776995749100743,0.5251651896487577,0.18417833355987495,0.3232724587737294,0.36626041598473
frozenset({'market_segment_Offline TA/TO'}),frozenset({'deposit_type_Non Refund'}),0.18783230389827824,0.32792597117581845,0.11319260616756036,0.6026258732835462,1.8376887659210335,1.0,0.051597515493525994,1.6912878409513055,0.5612611985417603,0.28117799134491095,0.4087345892361373,0.47390159401723886
frozenset({'deposit_type_Non Refund'}),frozenset({'market_segment_Offline TA/TO'}),0.32792597117581845,0.18783230389827824,0.11319260616756036,0.34517731475093144,1.8376887659210335,1.0,0.051597515493525994,1.2402864384467764,0.6782559583926467,0.28117799134491095,0.1937346333865342,0.47390159401723886
"frozenset({'market_segment_Online TA', 'hotel_Resort Hotel'})","frozenset({'customer_type_Transient', 'deposit_type_No Deposit'})",0.14136066426842236,0.5331568587524604,0.13706192447792936,0.9695902688860435,1.8185835049647459,1.0,0.061694516765416124,15.351768139550648,0.5242264879808571,0.25501999579035994,0.9348609234513054,0.6133332205877279
"frozenset({'customer_type_Transient', 'deposit_type_No Deposit'})","frozenset({'market_segment_Online TA', 'hotel_Resort Hotel'})",0.5331568587524604,0.14136066426842236,0.13706192447792936,0.25707617228941226,1.8185835049647459,1.0,0.061694516765416124,1.1557568941860186,0.9641814212155426,0.25501999579035994,0.1347661389428403,0.6133332205877279
"frozenset({'customer_type_Transient', 'deposit_type_No Deposit'})","frozenset({'arrival_date_month_July', 'market_segment_Online TA'})",0.5331568587524604,0.06407384782461141,0.062014977714427925,0.11631657118608105,1.815351740767513,1.0,0.02785356628007494,1.0591192746836837,0.9620845360411336,0.11586912411227594,0.05581927937374227,0.5420919014122496
"frozenset({'arrival_date_month_July', 'market_segment_Online TA'})","frozenset({'customer_type_Transient', 'deposit_type_No Deposit'})",0.06407384782461141,0.5331568587524604,0.062014977714427925,0.9678672316384181,1.815351740767513,1.0,0.02785356628007494,14.528568967176206,0.4798910319015822,0.11586912411227594,0.9311700965002638,0.5420919014122496
frozenset({'market_segment_Online TA'}),"frozenset({'arrival_date_month_August', 'deposit_type_No Deposit', 'customer_type_Transient'})",0.46912826082038056,0.08072580827620535,0.06859883707776195,0.14622618760549796,1.8113932920334654,1.0,0.030728079037826247,1.076718655899728,0.8437796586383498,0.14254148841145223,0.07125227698002522,0.4980009861794306
"frozenset({'arrival_date_month_August', 'deposit_type_No Deposit', 'customer_type_Transient'})",frozenset({'market_segment_Online TA'}),0.08072580827620535,0.46912826082038056,0.06859883707776195,0.8497757847533632,1.8113932920334652,1.0,0.030728079037826247,3.533862622001646,0.48727439418892565,0.14254148841145223,0.7170235215783286,0.4980009861794306
